0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
0,0,2,0,0,16,4,0,8,32,4,8,4,256,2,2,-0.15667819361277446
2,0,2,0,16,4,0,0,8,32,4,8,4,256,4,0,-0.15767620758483034
4,0,0,0,16,4,0,2,8,32,4,8,4,256,4,0,-0.15867422155688624
4,4,8,2,16,32,0,8,8,256,0,0,4,2,0,0,-0.1596722355289421
8,8,2,4,16,32,8,0,8,256,0,0,4,2,0,0,-0.160670249500998
16,2,4,0,16,32,8,0,8,256,2,0,4,2,0,0,-0.1616682634730539
0,16,2,4,0,16,32,8,0,8,256,2,0,2,4,2,-0.16266627744510978
0,16,2,4,0,16,32,8,0,8,256,2,0,2,4,2,-0.16366429141716568
0,16,2,4,0,16,32,8,0,8,256,2,0,2,4,2,-0.16466230538922155
0,16,2,4,0,16,32,8,0,8,256,2,0,2,4,2,-0.16566031936127745
2,0,2,0,0,32,32,4,0,8,256,8,0,2,4,4,-0.16665833333333335
4,0,0,0,64,4,0,0,8,256,8,0,2,8,0,2,-0.16765634730538923
4,4,8,2,64,256,0,2,8,8,0,0,2,0,0,0,-0.16865436127744513
8,8,2,0,64,256,2,0,16,0,0,0,2,0,0,2,-0.169652375249501
0,2,16,2,0,64,256,2,0,0,0,16,0,0,0,4,-0.1706503892215569
0,2,16,4,0,64,256,16,0,4,0,4,0,0,0,0,-0.17164840319361277
2,16,4,0,64,256,16,0,8,0,0,0,0,0,0,4,-0.17264641716566867
2,16,4,0,64,256,16,0,8,0,2,0,4,0,0,0,-0.17364443113772457
2,0,0,0,64,2,4,0,8,16,16,0,4,256,2,0,-0.17464244510978044
2,0,0,0,64,2,4,0,8,16,16,0,4,256,2,0,-0.17564045908183634
2,0,0,0,64,2,4,0,8,16,16,0,4,256,2,0,-0.17663847305389221
2,0,0,0,64,2,4,0,8,16,16,0,4,256,2,0,-0.17763648702594811
2,0,0,0,64,2,4,0,8,16,16,0,4,256,2,0,-0.178634500998004
0,0,0,2,0,64,2,4,0,0,8,32,2,4,256,2,-0.1796325149700599
0,0,2,2,0,0,2,4,0,64,8,32,2,4,256,2,-0.1806305289421158
0,0,0,4,0,2,2,4,0,64,8,32,2,4,256,2,-0.18162854291417166
2,2,2,8,0,64,8,32,0,4,256,2,0,0,2,0,-0.18262655688622756
0,2,4,8,0,64,8,32,0,4,256,2,0,0,2,2,-0.18362457085828343
2,4,8,0,64,8,32,0,4,256,2,0,4,2,0,0,-0.18462258483033933
2,4,8,0,64,8,32,0,8,256,2,0,0,2,0,2,-0.18562059880239523
2,4,8,0,64,8,32,0,8,256,2,0,4,0,0,2,-0.1866186127744511
0,2,4,8,0,64,8,32,0,8,256,2,2,0,4,2,-0.187616626746507
0,0,4,0,2,2,8,8,0,64,256,32,2,8,4,4,-0.18861464071856288
4,2,4,8,0,64,8,32,0,8,256,4,0,0,4,2,-0.18961265469061878
4,2,4,8,64,8,32,2,8,256,4,0,4,2,0,0,-0.19061066866267465
4,2,4,8,64,8,32,2,8,256,4,0,4,2,0,0,-0.19160868263473055
4,2,4,8,64,8,32,2,8,256,4,0,4,2,0,0,-0.19260669660678645
4,2,4,8,64,8,32,2,2,8,256,4,0,0,4,2,-0.19360471057884232
4,2,4,8,64,8,32,2,2,8,256,4,0,0,4,2,-0.19460272455089822
0,0,4,8,4,2,32,2,64,2,256,4,2,16,4,2,-0.1956007385229541
4,4,4,8,64,16,32,2,2,0,256,4,0,2,4,2,-0.19659875249501
0,4,8,8,64,16,32,2,2,2,256,4,0,2,4,2,-0.19759676646706587
4,16,4,0,64,16,32,2,4,256,4,0,2,4,2,0,-0.19859478043912177
4,0,4,0,64,32,32,0,4,256,4,2,2,4,2,2,-0.19959279441117767
0,0,0,8,0,0,64,64,4,256,4,2,2,2,4,4,-0.20059080838323354
0,2,0,8,0,0,0,128,4,256,4,2,0,0,4,8,-0.20158882235528944
0,2,0,8,0,0,0,128,0,2,0,2,4,256,8,8,-0.2025868363273453
2,8,0,0,128,0,0,2,4,0,0,0,4,256,16,0,-0.2035848502994012
2,8,0,0,128,2,0,0,4,0,0,0,4,256,16,2,-0.2045828642714571
0,0,0,0,2,8,2,0,128,2,0,0,8,256,16,2,-0.20558087824351298
2,8,2,2,128,2,16,2,8,256,0,0,0,0,0,0,-0.20657889221556888
2,8,2,4,128,2,16,2,8,256,0,0,0,0,0,0,-0.20757690618762475
2,8,2,4,128,2,16,2,0,0,8,256,2,0,0,0,-0.20857492015968065
2,8,2,4,128,2,16,2,0,0,8,256,2,0,0,2,-0.20957293413173653
0,0,2,4,2,0,2,2,128,8,16,256,2,2,8,2,-0.21057094810379243
0,0,2,4,0,0,2,4,128,8,16,256,2,4,8,2,-0.21156896207584833
2,4,0,2,2,4,0,0,128,8,16,256,2,4,8,2,-0.2125669760479042
2,4,2,2,2,4,0,0,128,8,16,256,2,4,8,2,-0.2135649900199601
2,2,4,4,0,0,2,4,128,8,16,256,2,4,8,2,-0.21456300399201597
2,2,4,8,128,8,2,256,2,4,16,2,2,0,8,0,-0.21556101796407187
4,4,8,2,128,8,2,256,2,4,16,2,2,8,0,0,-0.21655903193612774
4,4,8,2,128,8,2,256,4,4,16,2,0,8,0,2,-0.21755704590818364
0,8,8,2,128,8,2,256,0,8,16,2,2,0,8,2,-0.21855505988023954
128,16,8,2,2,8,2,256,0,0,16,4,2,0,8,0,-0.21955307385229542
0,2,8,0,0,0,2,2,128,16,16,256,4,8,8,4,-0.22055108782435132
0,0,8,2,0,2,2,2,128,16,16,256,4,8,8,4,-0.2215491017964072
0,2,8,2,0,0,2,4,0,128,32,256,0,4,16,4,-0.2225471157684631
0,0,8,2,2,2,2,4,0,128,32,256,0,4,16,4,-0.223545129740519
8,2,0,0,4,2,4,0,128,32,256,0,4,16,4,2,-0.22454314371257486
8,2,0,0,4,2,4,0,128,32,256,0,4,16,4,2,-0.22554115768463076
8,4,4,2,4,32,256,0,128,16,4,0,4,2,0,0,-0.22653917165668663
0,8,8,2,2,4,32,256,0,128,16,4,0,0,4,2,-0.22753718562874253
0,0,8,2,2,8,32,256,0,4,16,4,2,128,4,2,-0.2285351996007984
4,8,8,2,0,4,32,256,2,128,16,4,0,0,4,2,-0.2295332135728543
0,0,8,2,2,8,32,256,4,4,16,4,2,128,4,2,-0.2305312275449102
0,0,8,2,2,8,32,256,4,4,16,4,2,128,4,2,-0.23152924151696608
0,0,8,2,2,8,32,256,4,4,16,4,2,128,4,2,-0.23252725548902198
8,2,0,2,2,8,32,256,8,16,4,0,2,128,4,2,-0.23352526946107785
8,2,32,2,2,8,8,256,8,16,2,2,2,128,0,0,-0.23452328343313375
8,2,32,2,2,2,16,256,0,8,16,4,0,0,2,128,-0.23552129740518962
8,2,32,2,2,4,16,256,0,8,16,4,0,0,2,128,-0.23651931137724552
0,0,2,2,0,2,32,256,8,4,32,4,2,8,2,128,-0.23751732534930142
0,0,0,2,2,2,2,256,8,4,64,4,2,8,2,128,-0.2385153393213573
2,0,0,2,4,2,256,0,8,4,64,4,2,8,2,128,-0.2395133532934132
4,0,0,4,4,2,256,0,8,4,64,4,2,8,2,128,-0.24051136726546907
0,2,0,0,8,2,256,0,8,4,64,8,2,8,2,128,-0.24150938123752497
16,4,256,8,2,4,64,128,0,8,2,0,0,0,2,0,-0.24250739520958084
2,0,0,0,0,0,256,0,16,8,64,8,2,8,4,128,-0.24350540918163674
2,0,2,0,256,0,0,0,16,8,64,8,2,8,4,128,-0.24450342315369264
2,0,0,4,0,0,0,256,16,8,64,8,2,8,4,128,-0.2455014371257485
0,0,0,4,2,2,0,256,16,0,64,8,2,16,4,128,-0.2464994510978044
2,2,64,4,16,16,4,256,2,0,0,8,0,2,0,128,-0.24749746506986028
2,2,64,4,16,16,4,256,2,2,0,8,0,2,0,128,-0.24849547904191618
0,0,0,4,2,2,2,256,16,16,64,8,2,4,4,128,-0.24949349301397208
2,2,2,4,16,16,64,256,2,4,4,8,2,0,0,128,-0.25049150698602796
4,2,4,0,32,64,256,0,2,8,8,2,2,128,0,0,-0.25148952095808386
0,2,0,2,4,64,4,0,32,8,256,0,4,128,8,2,-0.25248753493013976
0,2,0,4,0,4,64,4,0,32,8,256,4,128,8,2,-0.2534855489021956
2,0,2,4,0,4,64,4,0,32,8,256,4,128,8,2,-0.2544835628742515
0,0,0,4,0,4,2,8,2,32,64,256,4,128,16,2,-0.2554815768463074
2,4,2,4,4,32,64,8,0,128,16,256,0,0,2,2,-0.2564795908183633
0,0,2,4,2,4,64,8,2,32,16,256,4,128,2,2,-0.2574776047904192
2,4,0,2,2,4,64,8,2,32,16,256,4,128,4,0,-0.25847561876247505
2,4,2,2,2,4,64,8,2,32,16,256,4,128,4,0,-0.25947363273453095
0,2,4,4,2,4,64,8,2,32,16,256,2,4,128,4,-0.26047164670658685
0,2,2,8,2,4,64,8,2,32,16,256,2,4,128,4,-0.26146966067864275
2,2,2,0,0,4,64,16,2,32,16,256,4,4,128,4,-0.26246767465069865
4,2,0,0,4,64,16,0,2,32,16,256,8,128,4,2,-0.2634656886227545
8,2,32,256,2,64,4,2,8,32,0,0,4,128,0,0,-0.2644637025948104
8,2,2,0,2,64,0,0,8,32,32,256,4,128,4,2,-0.2654617165668663
8,4,2,0,2,64,0,0,8,64,256,0,4,128,4,2,-0.2664597305389222
8,0,2,0,2,4,2,0,8,128,256,0,4,128,4,2,-0.26745774451097803
8,4,4,2,2,256,256,0,8,0,4,2,4,0,0,0,-0.26845575848303393
0,8,8,2,0,0,2,512,0,8,4,2,0,0,2,4,-0.26945377245508983
4,0,8,2,0,0,2,512,0,0,4,2,0,16,2,4,-0.27045178642714574
0,0,8,2,0,2,2,512,0,0,4,2,4,16,2,4,-0.27144980039920164
8,2,2,0,4,512,0,0,4,2,0,0,4,16,2,4,-0.2724478143712575
8,4,0,0,4,512,0,0,4,2,2,0,4,16,2,4,-0.2734458283433134
0,0,8,4,2,0,4,512,0,0,4,4,4,16,2,4,-0.2744438423153693
2,16,8,4,4,0,8,512,0,0,2,8,0,0,0,2,-0.2754418562874252
2,16,8,4,2,4,8,512,0,0,2,8,0,0,0,2,-0.2764398702594811
2,16,8,4,2,4,8,512,2,8,0,0,2,0,2,0,-0.2774378842315369
4,16,16,4,4,4,2,512,0,8,0,2,0,0,0,0,-0.2784358982035928
8,16,16,4,0,4,2,512,0,8,0,2,0,2,0,0,-0.2794339121756487
0,8,32,4,0,4,2,512,0,0,8,2,0,2,0,2,-0.2804319261477046
2,8,32,4,0,4,2,512,0,0,8,2,0,0,0,4,-0.2814299401197605
2,8,32,4,0,4,2,512,0,0,8,2,0,0,0,4,-0.28242795409181637
2,8,32,4,0,4,2,512,0,0,8,2,0,0,0,4,-0.28342596806387227
0,0,0,4,4,0,32,512,0,8,2,2,2,4,8,4,-0.28442398203592817
0,2,0,4,0,0,32,512,4,8,2,2,2,4,8,4,-0.28542199600798407
4,2,32,4,2,8,2,512,0,4,8,2,2,0,0,4,-0.2864200099800399
0,0,0,4,2,2,32,512,4,8,2,2,4,4,8,4,-0.2874180239520958
4,0,0,0,4,32,512,0,4,8,4,2,8,8,4,0,-0.2884160379241517
0,2,0,4,0,4,32,512,4,8,4,2,0,0,16,4,-0.2894140518962076
2,4,0,0,4,32,512,0,4,8,4,2,16,4,0,2,-0.2904120658682635
2,4,0,0,4,32,512,2,4,8,4,2,16,4,2,0,-0.29141007984031936
0,4,0,0,2,32,512,0,8,8,4,2,16,4,2,4,-0.29240809381237526
0,2,0,4,0,2,32,512,0,16,4,2,16,4,2,4,-0.29340610778443116
2,4,0,2,2,32,512,0,16,4,2,0,16,4,2,4,-0.29440412175648706
4,4,512,2,32,32,4,4,0,8,0,0,2,0,0,0,-0.29540213572854296
4,4,512,2,32,32,4,4,2,8,0,2,0,0,0,0,-0.2964001497005988
8,512,2,0,64,8,2,0,2,8,2,0,0,0,0,0,-0.2973981636726547
0,8,512,2,2,64,8,2,0,2,8,2,0,0,0,0,-0.2983961776447106
0,8,512,2,2,64,8,2,0,2,8,2,0,0,0,0,-0.2993941916167665
2,8,512,4,0,64,16,2,0,2,0,0,0,2,0,0,-0.3003922055888224
2,8,512,4,0,64,16,2,0,4,0,0,0,0,2,0,-0.30139021956087825
2,8,512,4,64,16,2,0,4,2,0,0,2,0,0,0,-0.30238823353293415
2,8,512,4,0,64,16,2,0,0,4,2,0,2,0,2,-0.30338624750499005
2,8,512,4,64,16,2,0,4,2,0,0,4,0,0,4,-0.30438426147704595
2,8,512,4,64,16,2,0,4,2,0,0,8,0,0,4,-0.3053822754491018
2,8,512,4,0,64,16,2,2,0,4,2,0,0,8,4,-0.3063802894211577
2,0,512,0,0,0,16,4,0,8,4,4,4,64,8,4,-0.3073783033932136
0,0,512,2,0,0,16,0,2,8,4,4,4,64,8,8,-0.3083763173652695
0,0,512,2,0,2,0,16,0,2,8,8,0,4,64,16,-0.3093743313373254
0,0,0,2,0,2,512,16,0,4,8,8,0,4,64,16,-0.31037234530938124
0,4,0,2,0,2,512,16,0,0,4,16,0,4,64,16,-0.31137035928143714
0,4,512,2,0,2,4,32,0,4,64,16,0,2,0,0,-0.31236837325349304
